# matriz v2 - ASCILINE-hybrid - tools/emit_v2.py --barrer
# fuente	6e78efa38e10e926473a8bd9073b4108107e905c1f73f6dc2edaf3a974cc6563
# base	1280x720	20 fps	308 cuadros
# receta	--ancho 1280 --fps 20 --vp9-crf 34 --vp9-cpu 2 --h264-crf 21 --h264-bframes 3 --h264-refs 4 --techo 20000000
# techo	20000000
# id	eje	codec	file	bytes	sha256	cuadros	ssim_y	ssim_all	psnr_avg	seg_encode	perfil	techo	note
v2-vp9-crf10	vp9-crf	vp9	v2-vp9-crf10.webm	10825432	22b67c3de227e50c1460c3989e7de2936af3576e2741ca4c326c95a55b08415b	308	0.993820	0.993754	48.861508	84.9	vp9 Profile 0 -99	pasa	VP9 crf 10 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; GOP 20; ssim 0.993754 psnr 48.861508; 308 cuadros; 85 s
v2-vp9-crf14	vp9-crf	vp9	v2-vp9-crf14.webm	8256790	73038fb450a347c655895713b6c7523c53ccfd123af6dff316dd68ff73efe1f4	308	0.992764	0.992697	47.772932	75.6	vp9 Profile 0 -99	pasa	VP9 crf 14 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; GOP 20; ssim 0.992697 psnr 47.772932; 308 cuadros; 76 s
v2-vp9-crf18	vp9-crf	vp9	v2-vp9-crf18.webm	6874925	89dfaaf2455df90f3e86db5075ac9bb75c213a0519cc5c96ee22bb7871051350	308	0.991901	0.991844	46.962503	70.7	vp9 Profile 0 -99	pasa	VP9 crf 18 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; GOP 20; ssim 0.991844 psnr 46.962503; 308 cuadros; 71 s
v2-vp9-crf22	vp9-crf	vp9	v2-vp9-crf22.webm	5941695	18a0c109b972b24b14ce3a0a6ec6213598f5a6b08d8330a9498281b00eff06ba	308	0.991056	0.991001	46.262956	69.7	vp9 Profile 0 -99	pasa	VP9 crf 22 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; GOP 20; ssim 0.991001 psnr 46.262956; 308 cuadros; 70 s
v2-vp9-crf26	vp9-crf	vp9	v2-vp9-crf26.webm	5038386	b6895d96a18aec9df064137844716975cc65fd8c74f27ad92924af89f97f2ea6	308	0.989967	0.989938	45.456905	63.6	vp9 Profile 0 -99	pasa	VP9 crf 26 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; GOP 20; ssim 0.989938 psnr 45.456905; 308 cuadros; 64 s
v2-vp9-crf30	vp9-crf	vp9	v2-vp9-crf30.webm	4297009	9b5784fbe4ecbabad60ab7342348e65d5857f98d688fad40bb76b0d33087117c	308	0.988631	0.988659	44.590028	55.4	vp9 Profile 0 -99	pasa	VP9 crf 30 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; GOP 20; ssim 0.988659 psnr 44.590028; 308 cuadros; 55 s
v2-h264-crf11	h264-crf	h264	v2-h264-crf11.mp4	21944485	b25e62bbfdf312e3a940315a83a610a53cb88c6d34bad77ab7d68c5a7fb0de60	308	0.995771	0.995754	50.133044	33.5	h264 High 31	SUPERA	H.264 high crf 11 B=3 ref=4 + audio de la fuente copiado; 709 tv; GOP 20; ssim 0.995754 psnr 50.133044; 308 cuadros; 33 s
v2-h264-crf14	h264-crf	h264	v2-h264-crf14.mp4	14399566	01f3bf3b0f8f8b2c04102a4d1653aebfe64f16e7a054d84197a7ac3eb593d211	308	0.994231	0.994150	48.383070	27.7	h264 High 31	pasa	H.264 high crf 14 B=3 ref=4 + audio de la fuente copiado; 709 tv; GOP 20; ssim 0.994150 psnr 48.383070; 308 cuadros; 28 s
v2-h264-crf17	h264-crf	h264	v2-h264-crf17.mp4	9682620	0f6126f80f50ffa283e0e18eff1c23c05038f4b0cfe0f3defc671336e63af6d5	308	0.992563	0.992415	46.736259	21.7	h264 High 31	pasa	H.264 high crf 17 B=3 ref=4 + audio de la fuente copiado; 709 tv; GOP 20; ssim 0.992415 psnr 46.736259; 308 cuadros; 22 s
v2-h264-crf20	h264-crf	h264	v2-h264-crf20.mp4	6713372	7a043c03ee5cc2d34feb9944350fccabed0f83dbb3b16a6644ab7261f13fcef8	308	0.990639	0.990394	45.080365	17.4	h264 High 31	pasa	H.264 high crf 20 B=3 ref=4 + audio de la fuente copiado; 709 tv; GOP 20; ssim 0.990394 psnr 45.080365; 308 cuadros; 17 s
